ID,Name,Role,Operation_Name,Date_Assigned
16,Галина Даниленко,Координатор,Операція Тета,2023-01-05
1,Андрій Мельник,Аналітик,Операція Альфа,2023-01-15
2,Ірина Ковальчук,Оператор,Операція Альфа,2023-01-16
3,Сергій Бондаренко,Технік,Операція Альфа,2023-01-17
4,Тетяна Лисенко,Координатор,Операція Альфа,2023-01-18
9,Микола Іванченко,Аналітик,Операція Дельта,2023-01-20
10,Оксана Петренко,Оператор,Операція Дельта,2023-01-21
5,Василь Кравченко,Аналітик,Операція Бета,2023-02-10
6,Наталія Шевчук,Оператор,Операція Бета,2023-02-11
7,Олександр Мороз,Технік,Операція Гамма,2023-03-05
8,Юлія Ткаченко,Координатор,Операція Гамма,2023-03-06
11,Дмитро Савченко,Технік,Операція Епсилон,2023-04-10
12,Людмила Кузьменко,Координатор,Операція Епсилон,2023-04-11
15,Павло Захарченко,Технік,Операція Ета,2023-05-01
17,Роман Тимошенко,Аналітик,Операція Йота,2023-06-15
18,Софія Кравчук,Оператор,Операція Каппа,2023-07-01
