ID,Name,Role,Operation_Name,Date_Assigned,Operation_End_Date
1,Андрій Мельник,Аналітик,Операція Альфа,2023-01-15,2023-02-28
2,Ірина Ковальчук,Оператор,Операція Альфа,2023-01-16,2023-02-28
3,Сергій Бондаренко,Технік,Операція Альфа,2023-01-17,2023-02-28
4,Тетяна Лисенко,Координатор,Операція Альфа,2023-01-18,2023-02-28
5,Василь Кравченко,Аналітик,Операція Бета,2023-02-10,2023-04-20
6,Наталія Шевчук,Оператор,Операція Бета,2023-02-11,2023-04-20
7,Олександр Мороз,Технік,Операція Гамма,2023-03-05,2023-05-15
8,Юлія Ткаченко,Координатор,Операція Гамма,2023-03-06,2023-05-15
13,Віктор Романенко,Аналітик,Операція Зета,2022-12-01,2023-03-15
14,Катерина Левченко,Оператор,Операція Зета,2022-12-02,2023-03-15
16,Галина Даниленко,Координатор,Операція Тета,2023-01-05,2023-06-10
